id,name_ko,name_en,side,faction,role,weapon,base,sheet,file
imrahil_mounted,임라힐(기마),"Prince Imrahil, mounted",good,gondor,cavalry,lance,XL,roster-mounted-heroes-v1.png,tokens/imrahil_mounted.png
gandalf_mounted,간달프(섀도우팩스),Gandalf on Shadowfax,good,maiar,hero,sword,XL,roster-mounted-heroes-v1.png,tokens/gandalf_mounted.png
thranduil_mounted,스란두일(기마),"Thranduil, mounted",good,elf,hero,sword,XL,roster-mounted-heroes-v1.png,tokens/thranduil_mounted.png
aragorn_mounted,아라곤(기마),"Aragorn, mounted",good,gondor,hero,sword,XL,roster-mounted-heroes-v1.png,tokens/aragorn_mounted.png
theoden_mounted,테오덴(기마),"Theoden, mounted",good,rohan,hero,sword,XL,roster-mounted-heroes-v1.png,tokens/theoden_mounted.png
blackroot_archer,검은뿌리골 궁수,Blackroot Vale Archer,good,gondor,infantry,bow,M,roster-mounted-heroes-v1.png,tokens/blackroot_archer.png
half_troll,하프 트롤,Half-Troll of Far Harad,evil,harad,monster,club,L,roster-mordor-monsters-v1.png,tokens/half_troll.png
cave_drake,동굴 드레이크,Cave Drake,evil,moria,monster,none,XL,roster-mordor-monsters-v1.png,tokens/cave_drake.png
bat_swarm,박쥐 떼,Bat Swarm,evil,dol_guldur,monster,none,,roster-mordor-monsters-v1.png,tokens/bat_swarm.png
muzgur,무즈구르,"Muzgur, Morgul Shaman",evil,angmar,hero,staff,,roster-mordor-monsters-v1.png,tokens/muzgur.png
buhrdur,부르두르,"Buhrdur, Troll Chieftain",evil,angmar,monster,mace,XL,roster-mordor-monsters-v1.png,tokens/buhrdur.png
mahud_chieftain,마후드 족장,Mahud War-Chieftain,evil,harad,hero,spear,L,roster-mordor-monsters-v1.png,tokens/mahud_chieftain.png
terr_rubble,돌무더기,Rubble pile,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_rubble.png
terr_broken_pillar,부러진 기둥,Broken pillar,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_broken_pillar.png
terr_barricade,목재 방벽,Wooden barricade,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_barricade.png
terr_crates,보급 상자,Supply crates,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_crates.png
terr_spike_line,대기병 말뚝,Stake line,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_spike_line.png
terr_brazier,화로,Brazier,terrain,terrain,terrain,none,M,terrain-objects-v1.png,tokens/terr_brazier.png
terr_orc_totem,오크 전리품 토템,Orcish totem,terrain,terrain,terrain,none,M,terrain-objects-v2.png,tokens/terr_orc_totem.png
terr_siege_ladder,공성 사다리,Siege ladder,terrain,terrain,terrain,none,M,terrain-objects-v2.png,tokens/terr_siege_ladder.png
terr_tent,야영 텐트,Campaign tent,terrain,terrain,terrain,none,M,terrain-objects-v2.png,tokens/terr_tent.png
terr_cart,짐수레,Supply cart,terrain,terrain,terrain,none,M,terrain-objects-v2.png,tokens/terr_cart.png
terr_campfire,모닥불,Campfire,terrain,terrain,terrain,none,M,terrain-objects-v2.png,tokens/terr_campfire.png
terr_statue_head,무너진 왕 석상,Toppled statue head,terrain,terrain,terrain,none,L,terrain-objects-v2.png,tokens/terr_statue_head.png
terr_rock_outcrop,바위 지형,Rock outcrop,terrain,terrain,terrain,none,L,terrain-natural-v1.png,tokens/terr_rock_outcrop.png
terr_standing_stones,입석,Standing stones,terrain,terrain,terrain,none,L,terrain-natural-v1.png,tokens/terr_standing_stones.png
terr_pine_copse,소나무 숲,Pine copse,terrain,terrain,terrain,none,L,terrain-natural-v1.png,tokens/terr_pine_copse.png
terr_oak_tree,참나무,Old oak,terrain,terrain,terrain,none,XL,terrain-natural-v1.png,tokens/terr_oak_tree.png
terr_dead_tree,고목,Dead tree,terrain,terrain,terrain,none,L,terrain-natural-v1.png,tokens/terr_dead_tree.png
terr_hedgerow,울타리 덤불,Hedgerow,terrain,terrain,terrain,none,L,terrain-natural-v1.png,tokens/terr_hedgerow.png
terr_ruined_wall,무너진 성벽,Ruined wall,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_ruined_wall.png
terr_ruined_tower,폐탑,Ruined tower,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_ruined_tower.png
terr_gondor_house,곤도르 가옥,Gondor house,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_gondor_house.png
terr_rohan_hall,로한 회관,Rohan mead hall,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_rohan_hall.png
terr_orc_camp,오크 야영지,Orc camp,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_orc_camp.png
terr_barrow,고분,Burial barrow,terrain,terrain,terrain,none,XL,terrain-structures-v1.png,tokens/terr_barrow.png
